,Fold,TP,TN,FP,FN,Accuracy,Precision,Recall,F1 Score,Macro F1 Score
0,1.0,75.0,395.0,23.0,7.0,0.94,0.7653061224489796,0.9146341463414634,0.8333333333333334,0.8983739837398375
1,2.0,79.0,364.0,35.0,22.0,0.886,0.6929824561403509,0.7821782178217822,0.7348837209302326,0.8311361279810399
2,3.0,70.0,385.0,30.0,15.0,0.91,0.7,0.8235294117647058,0.7567567567567567,0.8507710164151882
3,4.0,77.0,353.0,53.0,17.0,0.86,0.5923076923076923,0.8191489361702128,0.6875,0.7986469072164948
4,5.0,78.0,366.0,43.0,13.0,0.888,0.6446280991735537,0.8571428571428571,0.7358490566037735,0.8323915333780288
5,6.0,76.0,370.0,37.0,17.0,0.892,0.672566371681416,0.8172043010752689,0.7378640776699029,0.8349270010515761
6,7.0,73.0,383.0,33.0,11.0,0.912,0.6886792452830188,0.8690476190476191,0.7684210526315789,0.857050032488629
7,8.0,69.0,376.0,40.0,15.0,0.89,0.6330275229357798,0.8214285714285714,0.7150259067357512,0.8234361256107505
8,9.0,82.0,359.0,42.0,17.0,0.882,0.6612903225806451,0.8282828282828283,0.73542600896861,0.829746466517767
9,10.0,85.0,350.0,52.0,13.0,0.87,0.6204379562043796,0.8673469387755102,0.723404255319149,0.8192184675288555
