,Fold,TP,TN,FP,FN,Accuracy,Precision,Recall,F1 Score,Macro F1 Score
0,1.0,82.0,414.0,4.0,0.0,0.992,0.9534883720930233,1.0,0.9761904761904763,0.985691391941392
1,2.0,96.0,391.0,8.0,5.0,0.974,0.9230769230769231,0.9504950495049505,0.9365853658536586,0.9601165822978984
2,3.0,82.0,405.0,10.0,3.0,0.974,0.8913043478260869,0.9647058823529412,0.9265536723163841,0.9553789017718008
3,4.0,91.0,399.0,7.0,3.0,0.98,0.9285714285714286,0.9680851063829787,0.9479166666666666,0.9677702145214521
4,5.0,87.0,403.0,6.0,4.0,0.98,0.9354838709677419,0.9560439560439561,0.9456521739130435,0.9666986359761296
5,6.0,83.0,405.0,2.0,10.0,0.976,0.9764705882352941,0.8924731182795699,0.9325842696629214,0.958992864758468
6,7.0,76.0,412.0,4.0,8.0,0.976,0.95,0.9047619047619048,0.9268292682926829,0.9562376006535185
7,8.0,77.0,413.0,3.0,7.0,0.98,0.9625,0.9166666666666666,0.9390243902439025,0.9635313338779321
8,9.0,94.0,388.0,13.0,5.0,0.964,0.8785046728971962,0.9494949494949495,0.912621359223301,0.944975667017192
9,10.0,91.0,387.0,15.0,7.0,0.956,0.8584905660377359,0.9285714285714286,0.8921568627450982,0.9322593358951622
