,Fold,TP,TN,FP,FN,Accuracy,Precision,Recall,F1 Score,Macro F1 Score
0,1.0,82.0,387.0,31.0,0.0,0.938,0.7256637168141593,1.0,0.841025641025641,0.9012581621277274
1,2.0,100.0,369.0,30.0,1.0,0.938,0.7692307692307693,0.9900990099009901,0.8658008658008659,0.9127443860863887
2,3.0,85.0,394.0,21.0,0.0,0.958,0.8018867924528302,1.0,0.8900523560209425,0.9320471916075046
3,4.0,88.0,399.0,7.0,6.0,0.974,0.9263157894736842,0.9361702127659575,0.9312169312169313,0.9575936690609934
4,5.0,91.0,369.0,40.0,0.0,0.92,0.6946564885496184,1.0,0.8198198198198199,0.8842029690358739
5,6.0,93.0,384.0,23.0,0.0,0.954,0.8017241379310345,1.0,0.8899521531100478,0.9304375177686774
6,7.0,84.0,387.0,29.0,0.0,0.942,0.7433628318584071,1.0,0.8527918781725888,0.9083386539057215
7,8.0,84.0,382.0,34.0,0.0,0.932,0.711864406779661,1.0,0.8316831683168318,0.8945383260130524
8,9.0,99.0,373.0,28.0,0.0,0.944,0.7795275590551181,1.0,0.8761061946902654,0.9199652420479751
9,10.0,98.0,336.0,66.0,0.0,0.868,0.5975609756097561,1.0,0.748091603053435,0.8293303543722459
