,Fold,TP,TN,FP,FN,Accuracy,Precision,Recall,F1 Score,Macro F1 Score
0,1.0,80.0,418.0,0.0,2.0,0.996,1.0,0.975609756097561,0.9876543209876543,0.9926338430713928
1,2.0,96.0,397.0,2.0,5.0,0.986,0.9795918367346939,0.9504950495049505,0.964824120603015,0.9780425222241043
2,3.0,83.0,415.0,0.0,2.0,0.996,1.0,0.9764705882352941,0.988095238095238,0.9928456959706959
3,4.0,93.0,404.0,2.0,1.0,0.994,0.9789473684210527,0.9893617021276596,0.9841269841269842,0.99021392362946
4,5.0,86.0,409.0,0.0,5.0,0.99,1.0,0.945054945054945,0.9717514124293786,0.9828380391430003
5,6.0,86.0,407.0,0.0,7.0,0.986,1.0,0.9247311827956989,0.9608938547486032,0.9761838335862383
6,7.0,81.0,414.0,2.0,3.0,0.99,0.9759036144578314,0.9642857142857143,0.970059880239521,0.9820287396395685
7,8.0,79.0,414.0,2.0,5.0,0.986,0.9753086419753086,0.9404761904761905,0.9575757575757574,0.9745962620214117
8,9.0,96.0,400.0,1.0,3.0,0.992,0.9896907216494846,0.9696969696969697,0.9795918367346939,0.9873083561782923
9,10.0,91.0,400.0,2.0,7.0,0.982,0.978494623655914,0.9285714285714286,0.9528795811518325,0.9708773678317877
