,Fold,TP,TN,FP,FN,Accuracy,Precision,Recall,F1 Score,Macro F1 Score
0,1.0,10.0,348.0,70.0,72.0,0.716,0.125,0.12195121951219512,0.12345679012345678,0.47700285806888837
1,2.0,13.0,332.0,67.0,88.0,0.69,0.1625,0.12871287128712872,0.14364640883977903,0.4771956097922948
2,3.0,9.0,344.0,71.0,76.0,0.706,0.1125,0.10588235294117647,0.10909090909090909,0.4665215024496462
3,4.0,7.0,333.0,73.0,87.0,0.68,0.0875,0.07446808510638298,0.08045977011494253,0.4433775848153405
4,5.0,9.0,338.0,71.0,82.0,0.694,0.1125,0.0989010989010989,0.10526315789473685,0.4603517237000825
5,6.0,12.0,339.0,68.0,81.0,0.702,0.15,0.12903225806451613,0.13872832369942192,0.4792795185607146
6,7.0,11.0,347.0,69.0,73.0,0.716,0.1375,0.13095238095238096,0.13414634146341461,0.4821449410666356
7,8.0,9.0,345.0,71.0,75.0,0.708,0.1125,0.10714285714285714,0.1097560975609756,0.4675574746178084
8,9.0,8.0,329.0,72.0,91.0,0.674,0.1,0.08080808080808081,0.08938547486033521,0.4454235535081213
9,10.0,12.0,334.0,68.0,86.0,0.692,0.15,0.12244897959183673,0.1348314606741573,0.473741764400339
