,Fold,TP,TN,FP,FN,Accuracy,Precision,Recall,F1 Score,Macro F1 Score
0,1.0,81.0,413.0,5.0,1.0,0.988,0.9418604651162791,0.9878048780487805,0.9642857142857143,0.9785370879120879
1,2.0,0.0,399.0,0.0,101.0,0.798,0.0,0.0,0.0,0.4438264738598443
2,3.0,82.0,404.0,11.0,3.0,0.972,0.8817204301075269,0.9647058823529412,0.9213483146067416,0.9521583422182127
3,4.0,0.0,406.0,0.0,94.0,0.812,0.0,0.0,0.0,0.4481236203090508
4,5.0,0.0,409.0,0.0,91.0,0.818,0.0,0.0,0.0,0.4499449944994499
5,6.0,86.0,406.0,1.0,7.0,0.984,0.9885057471264368,0.9247311827956989,0.9555555555555556,0.97289972899729
6,7.0,0.0,416.0,0.0,84.0,0.832,0.0,0.0,0.0,0.45414847161572053
7,8.0,0.0,416.0,0.0,84.0,0.832,0.0,0.0,0.0,0.45414847161572053
8,9.0,0.0,401.0,0.0,99.0,0.802,0.0,0.0,0.0,0.44506104328523866
9,10.0,92.0,387.0,15.0,6.0,0.958,0.8598130841121495,0.9387755102040817,0.8975609756097561,0.9355729406350668
