,Fold,TP,TN,FP,FN,Accuracy,Precision,Recall,F1 Score,Macro F1 Score
0,1.0,81.0,418.0,0.0,1.0,0.998,1.0,0.9878048780487805,0.9938650306748467,0.9963351437723098
1,2.0,97.0,397.0,2.0,4.0,0.988,0.9797979797979798,0.9603960396039604,0.9700000000000001,0.98125
2,3.0,81.0,415.0,0.0,4.0,0.992,1.0,0.9529411764705882,0.9759036144578312,0.9855537256941435
3,4.0,92.0,404.0,2.0,2.0,0.992,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.9868986479404676
4,5.0,87.0,409.0,0.0,4.0,0.992,1.0,0.9560439560439561,0.9775280898876404,0.9863309549194893
5,6.0,87.0,407.0,0.0,6.0,0.988,1.0,0.9354838709677419,0.9666666666666666,0.9796747967479674
6,7.0,80.0,415.0,1.0,4.0,0.99,0.9876543209876543,0.9523809523809523,0.9696969696969696,0.9818544728724369
7,8.0,82.0,416.0,0.0,2.0,0.996,1.0,0.9761904761904762,0.9879518072289156,0.9927768628470717
8,9.0,95.0,399.0,2.0,4.0,0.988,0.979381443298969,0.9595959595959596,0.9693877551020409,0.9809625342674384
9,10.0,89.0,400.0,2.0,9.0,0.978,0.978021978021978,0.9081632653061225,0.9417989417989417,0.9641177199746866
